kilometraje,edad,potencia,precio
20795,7,127,71579
5860,3,210,72214
81820,6,291,79528
59886,2,296,72296
11265,9,160,65528
87386,5,147,53396
42194,6,246,67313
92498,4,103,50233
49131,7,134,57369
65263,9,291,69776
21023,7,148,60237
46090,1,116,64474
72221,1,271,82443
69820,9,257,66448
5769,9,145,62523
64735,4,216,68249
67955,9,105,69861
69925,3,198,63894
72969,7,223,70151
10311,6,136,70624
88104,8,123,55459
58707,9,192,68182
90305,5,145,58908
33693,1,280,81793
76932,3,194,57201
98016,8,198,61269
30658,6,287,78373
89478,8,215,65137
23431,9,290,82564
7747,4,259,77859
64150,1,260,65860
70725,1,166,64484
89654,4,227,59819
40773,7,117,54411
72435,2,124,54063
61886,3,153,59220
71803,1,157,52801
36551,5,166,68929
16394,1,203,64883
74092,8,273,77991
8890,1,123,57786
46606,1,213,75049
85038,2,131,55454
92313,2,274,60586
15627,6,185,62055
13792,7,250,80538
78969,5,293,74046
48001,1,226,69406
81552,1,254,58160
28897,3,229,77624
73148,2,116,64637
28483,5,203,76291
53555,6,260,67901
22159,7,236,73583
85077,4,142,58653
40920,7,275,66056
97067,8,138,55245
72121,1,269,77043
74479,6,125,59207
94475,8,198,55046
24457,5,149,58541
71557,4,252,72497
82189,2,251,71045
83953,6,112,41867
57995,6,159,48150
45757,1,234,70441
14692,9,156,61404
50758,6,135,57266
77409,3,272,68069
76211,4,119,59699
70697,4,164,60348
42065,3,107,58498
97093,3,243,58545
37606,3,241,54185
16534,4,214,75864
99663,7,242,75235
45397,4,191,63347
96387,9,197,61530
6016,1,165,69520
94789,8,131,62247
60591,7,290,77671
94812,2,185,62499
28247,8,150,62703
29300,1,252,74571
79065,9,285,63618
87798,9,162,55724
14268,2,289,82904
91807,7,224,62336
17185,3,249,74069
68704,7,157,53234
91779,9,157,58971
44099,4,185,57281
13571,1,148,66892
43044,2,279,73659
56214,1,269,64562
66228,5,169,66024
53984,5,114,55582
45774,7,153,70312
7568,9,287,85556
67592,9,200,59065
72563,3,107,50151
7695,3,152,59237
53190,3,159,53315
10258,4,207,68063
92538,8,104,58614
44504,6,202,56508
38159,8,295,80193
18986,1,105,64443
66858,8,208,67137
17666,4,215,73899
43660,1,193,61412
8561,8,146,67801
31854,4,198,64368
69505,6,154,46486
57251,8,267,71511
27662,4,151,58613
13392,3,243,80421
35535,9,112,56436
83603,3,213,63834
57256,9,223,68742
94135,2,205,60749
40222,2,257,72158
82373,2,246,71580
84575,6,244,60944
89651,3,219,60092
68335,9,162,54753
15965,4,118,67887
29538,1,191,64637
75592,4,157,57924
13110,1,282,75885
84309,5,189,59328
32266,4,216,65186
57992,8,161,62864
87948,8,122,48450
11910,7,226,64932
95982,3,236,61876
5206,1,239,71388
92054,1,228,58905
92897,3,157,55460
28419,6,221,61290
55636,7,100,63360
55015,6,133,50668
59268,6,195,60675
92939,6,225,61521
23141,3,217,78475
85356,6,147,47846
76910,8,188,62069
61044,2,216,71681
72214,5,228,64429
38827,1,115,53768
